"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
1,10157,35441,0.1015,0.0,2.0375,0.0,0.4009,0.0,4.2957,1.6621,0.0776,0.0,0.8864,0.0499,13,61,45,0.6882,0.2043,5.6693,0.7398,29.749,76.9161,65.9996
2,10250,36093,0.1031,0.0,2.0067,0.0948,0.4659,0.0,6.0303,0.0608,0.0758,0.0,1.0792,0.0,12,67,56,0.6866,0.2028,6.0929,0.7203,30.1469,78.2401,66.7486
3,10218,36077,0.0988,0.0,2.362,0.1112,0.3617,0.0,3.2826,1.4961,0.0711,0.0,0.801,0.0,13,46,43,0.686,0.2042,6.0161,0.8245,30.2749,77.9164,66.5975
4,10208,35638,0.0982,0.0,2.4568,1.7761,0.3181,0.0,4.3086,0.0934,0.0685,0.0,1.0269,0.0,12,57,55,0.6826,0.2023,7.0917,2.8933,29.5178,75.9464,65.5977
5,10239,36092,0.0977,0.0,1.895,0.0,0.4221,0.0,4.6389,0.0,0.0696,0.0,1.3218,0.0246,16,67,71,0.6879,0.1806,7.0928,1.9286,29.7769,78.8368,66.5292
6,10420,36783,0.1093,0.0,2.4053,0.0,0.4411,0.0,3.3289,0.1405,0.0849,0.0,1.0059,0.0,16,53,57,0.6903,0.2038,6.9225,1.7143,31.3439,80.2968,68.3091
7,10264,36265,0.1076,0.0,2.5027,0.3759,0.359,0.0,3.5355,2.001,0.0776,0.0,1.2114,0.1698,14,43,50,0.6868,0.2041,6.6067,0.3812,30.3705,78.8632,66.606
8,10395,36717,0.1006,0.0,2.0609,0.0,0.4344,0.0,3.4421,0.169,0.0878,0.0,1.1682,0.0,15,46,56,0.6881,0.2046,5.8066,0.2493,30.4786,79.817,68.2019
9,10291,36098,0.0994,0.0,2.1873,0.0,0.5055,0.0,3.3507,0.3308,0.0721,0.0,1.1261,0.0,14,47,50,0.6907,0.2054,6.3413,1.4653,29.6411,80.1087,66.9337
10,10132,35456,0.0962,0.0,2.6761,0.0,0.3508,0.0,3.185,3.1651,0.0731,0.0,0.7317,0.0,12,48,44,0.688,0.2034,6.5667,2.1181,28.9809,77.081,66.0558
11,10276,35597,0.1041,0.0,2.7996,0.0,0.3416,0.0,3.0861,0.9906,0.0678,0.0,1.0661,0.0339,15,48,56,0.6878,0.0378,6.0953,0.2825,29.756,77.5746,65.6682
12,10239,35916,0.1011,0.0,2.4974,0.6956,0.4184,0.0,4.054,2.1166,0.0667,0.0,0.8859,0.0595,16,56,42,0.6901,0.204,6.7219,0.2497,29.4248,79.0005,66.5722
13,10277,35846,0.1053,0.0,2.2721,0.0,0.3139,0.0,2.8397,0.0514,0.0637,0.0,0.7989,0.0,13,48,46,0.6869,0.2043,5.4178,2.2342,29.7107,78.1286,66.3512
14,10182,35251,0.1072,0.0,2.4114,0.3277,0.3915,0.0,4.8744,3.8296,0.0662,0.0,0.9176,0.6393,13,57,44,0.6928,0.2061,5.5903,1.7355,30.1878,78.0682,64.713
15,10261,36252,0.1005,0.0,2.6302,0.3482,0.4911,0.0,3.4801,0.5772,0.0746,0.0,1.1321,0.0941,12,51,52,0.6886,0.1557,6.4954,2.2627,29.4436,79.7094,67.2631
16,10129,35741,0.0958,0.0,1.8793,0.0193,0.3412,0.0,3.2745,0.0,0.0729,0.0,0.9996,0.3675,14,38,57,0.6876,0.2039,5.4365,0.8054,28.531,78.791,66.0525
17,10201,35400,0.0957,0.0,1.95,0.2167,0.2796,0.0,3.2135,0.4336,0.0541,0.0,0.7124,0.1147,14,47,39,0.6874,0.2029,5.4363,0.9369,29.3743,77.1381,65.1973
18,10196,35674,0.0958,0.0,2.6927,0.2126,0.3927,0.0,3.5392,2.3379,0.0693,0.0,0.8655,0.0,12,46,45,0.6895,0.2054,5.0016,0.5864,29.4855,78.0229,66.8079
19,10205,35824,0.0968,0.0,2.2535,0.0,0.4573,0.0,4.4374,0.9443,0.0724,0.0,1.067,0.6847,13,60,46,0.6887,0.2036,5.314,0.5907,29.2615,78.8307,66.3082
20,10262,35623,0.0942,0.0,2.1031,0.0,0.429,0.0,5.1319,5.945,0.0645,0.0,0.9837,0.0841,13,66,51,0.6869,0.1708,6.1467,0.3288,28.4762,77.8625,66.3622
21,10058,35599,0.1066,0.0,3.3773,0.8852,0.3747,0.0,3.2522,0.0,0.0634,0.0,1.2192,0.0,14,47,65,0.6893,0.2042,5.4367,1.2739,29.9145,77.9617,65.782
22,10119,35660,0.0978,0.0,2.1953,0.9227,0.3143,0.0,2.8912,1.2112,0.0723,0.0,1.1195,0.0,13,40,48,0.6822,0.2046,6.2844,1.0072,29.1922,76.3249,65.5861
23,10378,35939,0.1008,0.0,2.0924,0.0,0.4157,0.0,4.7633,0.0985,0.0656,0.0,0.9879,0.0138,13,59,46,0.6883,0.1172,5.3566,2.078,30.7118,77.641,66.7399
24,10169,35386,0.1012,0.0,2.9087,0.0,0.2935,0.0,3.0088,0.055,0.0673,0.0,1.0277,0.0453,11,43,49,0.6848,0.2025,5.1526,0.494,29.8688,75.9046,65.1963
25,10157,35485,0.0955,0.0,2.29,0.0,0.3823,0.0,3.2804,0.2079,0.069,0.0,0.8683,0.0,10,48,46,0.6946,0.2055,5.8274,0.4785,29.6263,78.8427,67.0742
26,10182,36047,0.1,0.0,2.2448,0.0,0.3406,0.0,3.1292,0.0667,0.067,0.0,1.0577,0.1109,13,44,53,0.6827,0.0835,6.1854,1.4639,29.5031,77.4381,66.3337
27,10103,35276,0.0952,0.0,2.4894,0.2705,0.3698,0.0,4.3391,0.0,0.0715,0.0,1.0079,0.1081,10,49,60,0.6891,0.2047,7.9792,0.97,28.9186,77.2441,65.6275
28,10458,36589,0.1046,0.0,2.5013,0.1433,0.4233,0.0,3.2762,0.0,0.0704,0.0,0.8586,0.0028,12,49,48,0.69,0.1588,5.8119,0.84,30.9791,80.1423,67.9347
29,10340,36197,0.1025,0.0,2.2729,0.1587,0.3477,0.0,4.0202,0.0,0.0725,0.0,0.9895,0.0391,13,58,64,0.6872,0.0361,5.5061,1.7868,30.4394,78.4735,66.9445
30,10288,35772,0.1023,0.0,2.2639,0.0,0.3641,0.0,4.4285,0.0,0.0658,0.0,1.1001,0.0,13,55,58,0.6895,0.1809,6.563,0.411,29.9674,78.8861,66.0922
31,10240,35710,0.1044,0.0,2.6045,0.0,0.3201,0.0,2.7264,1.0991,0.0694,0.0,0.926,0.12,13,43,51,0.686,0.2043,6.1492,0.2705,30.0629,76.7319,65.9752
32,10302,35817,0.0983,0.0,3.0791,0.4011,0.3305,0.0,3.3002,0.3398,0.0639,0.0,0.7354,0.443,12,54,44,0.6853,0.2047,6.3079,0.5647,29.3072,77.8434,65.959
33,10128,35388,0.1024,0.0,2.4677,0.139,0.2807,0.0,2.4689,2.1227,0.0735,0.0,1.0848,0.2338,14,37,57,0.6882,0.2014,6.5817,1.2675,30.231,76.7549,65.3772
34,10232,36010,0.0977,0.0,2.1063,0.0967,0.3252,0.0,3.3288,2.5379,0.0752,0.0,1.2055,0.0,15,41,61,0.6847,0.2039,7.595,0.5933,29.0664,77.9245,66.5209
35,10228,36305,0.1034,0.0,2.2716,0.0,0.426,0.0,2.7899,0.0,0.0711,0.0,0.9555,0.0,14,45,48,0.6934,0.0886,7.4253,0.3457,29.8673,81.6369,67.2312
36,10262,35897,0.0915,0.0,2.2009,0.0,0.4615,0.0,4.3747,0.2367,0.0626,0.0,0.8491,0.0,11,57,51,0.6886,0.1154,6.2027,0.8775,28.9057,78.8095,67.0699
37,10278,36157,0.1012,0.0,2.1696,0.0,0.3447,0.0,2.8641,0.2768,0.0754,0.0,0.8897,0.0433,14,41,57,0.6835,0.2012,5.2502,0.8441,30.0421,76.7444,67.2053
38,10353,36193,0.1045,0.0,2.2342,0.2009,0.3558,0.0,3.4867,0.1563,0.0736,0.0,1.0686,0.0716,13,54,61,0.6892,0.2062,5.0543,0.4754,31.4981,78.2034,66.8512
39,10305,35828,0.0971,0.0,2.633,0.0,0.388,0.0,3.1918,2.6746,0.0751,0.0,0.9836,0.0,12,46,57,0.6874,0.2069,5.9771,1.1237,30.3256,77.5516,66.26
40,10309,36114,0.1054,0.0,2.4614,0.0886,0.3325,0.0,3.9282,0.0412,0.0649,0.0,0.9835,0.3724,15,60,52,0.6874,0.056,5.3647,1.3873,30.5192,78.2159,66.8397
41,10162,35603,0.1071,0.0,2.5411,0.358,0.3888,0.0,3.4134,0.0402,0.0768,0.0,1.1285,1.2895,15,45,60,0.6926,0.1467,7.1845,0.7717,29.922,79.3297,66.193
42,10469,36415,0.0977,0.0,2.5498,0.0,0.3814,0.0,4.2064,0.3688,0.0798,0.0,1.095,0.0,14,63,56,0.6856,0.207,6.7765,2.9066,29.7748,78.8017,67.2791
43,10392,36559,0.103,0.0,3.4268,0.0,0.4151,0.0,4.4292,0.7846,0.0818,0.0,1.2763,0.0188,15,59,61,0.6894,0.2054,6.6655,0.7322,30.7482,79.5633,68.0509
44,10474,36432,0.0981,0.0,2.7585,0.0,0.4721,0.0,3.5946,0.1574,0.0716,0.0,0.9521,0.0,12,49,48,0.69,0.2023,5.2599,0.3877,30.149,80.3998,67.6298
45,10242,35300,0.0922,0.0,2.0238,0.2,0.3041,0.0,3.4031,0.3482,0.068,0.0,1.3668,0.0148,11,52,65,0.6862,0.2042,5.6665,0.4317,29.2826,76.7265,64.8812
