"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
1,10269,36084,0.2681,0.0,2.8119,1.7824,61.1573,17.5946,113.2657,121.0754,2.0851,0.0,7.3234,3.0222,18,1064,258,0.6722,0.2056,5.0134,1.764,50.2878,100.0508,97.7171
2,10274,35998,0.2369,0.0,2.4934,0.0,89.2112,35.3075,117.5271,202.192,2.1439,0.0,8.4959,12.7016,15,1134,295,0.6722,0.201,5.3939,3.0795,49.5813,99.9906,97.1967
3,10201,35240,0.2531,0.0,3.0082,0.6256,57.8106,27.9426,98.2507,137.0913,1.3825,0.0,4.9248,0.5709,18,959,157,0.6786,0.1859,6.1449,0.9606,49.559,99.963,96.107
4,10227,35853,0.2613,0.0,2.7647,0.0,68.7481,14.005,110.7136,66.1592,1.7539,0.0,5.9746,2.0364,18,1130,200,0.6763,0.1032,5.9392,2.5844,49.0376,99.976,97.886
5,10354,35829,0.2546,0.0,3.4045,1.81,75.233,23.8719,126.4817,75.4468,1.46,0.0,5.6848,2.1847,21,1360,186,0.6764,0.1048,6.3729,0.7191,50.1047,100.0054,96.6978
6,10095,34964,0.2438,0.0,3.3176,0.1502,71.7095,31.7533,118.0198,60.6007,1.7261,0.0,8.5806,13.5377,18,1072,267,0.6792,0.0202,5.4097,0.5536,49.4865,100.0188,95.0381
7,10330,36677,0.2813,0.0,3.4323,0.5615,84.5024,16.9146,152.5085,74.2409,2.2159,0.0,7.8879,0.9469,20,1507,267,0.673,0.0622,6.6229,0.3247,51.1247,99.9691,98.2703
8,10101,35650,0.2321,0.0,3.2294,0.0,85.8436,35.5315,128.3189,165.5751,2.6885,0.0,9.7802,1.1504,15,1256,312,0.6755,0.0525,5.6695,0.3677,48.1065,99.9772,96.9197
9,10234,35755,0.2407,0.0,2.9704,0.5635,74.2862,36.3951,105.4705,73.3792,1.3475,0.0,5.6204,0.6637,18,1154,203,0.6747,0.0505,5.961,0.569,49.0839,100.0082,97.2252
10,10240,35821,0.262,0.0,3.1412,0.0,77.7497,30.8933,125.7722,75.982,1.7407,0.0,7.7229,3.7653,20,1266,255,0.6751,0.2048,6.7545,1.6159,49.9134,99.9877,96.766
11,10177,35334,0.3054,0.0,3.2969,0.5448,51.0665,17.6478,96.1333,45.0946,1.9069,0.0,7.952,1.7709,26,884,276,0.6801,0.0483,5.0977,0.3752,50.8868,99.9752,96.4988
12,10207,35341,0.2295,0.0,2.7198,0.4075,80.6828,37.8507,131.0327,159.0764,1.0123,0.0,5.7189,1.0108,16,1276,210,0.6777,0.0134,7.96,0.6981,49.0197,100.0092,95.8822
13,10381,36358,0.274,0.0,3.0547,0.3119,70.3092,18.5307,120.3931,135.3767,3.021,0.0,9.2983,8.1939,23,1155,317,0.671,0.0386,6.3306,1.005,50.5991,99.9881,98.5147
14,10342,35819,0.2446,0.0,2.6731,0.0,71.771,29.486,114.4099,150.8408,1.6576,0.0,7.1838,1.2705,19,1134,238,0.675,0.0826,6.7899,4.521,50.4181,99.9926,96.4089
15,10382,36482,0.247,0.0,2.8557,0.0,77.6144,29.5781,140.1827,76.8373,2.8195,0.0,8.638,2.381,18,1457,296,0.6727,0.0559,5.0987,1.1544,50.0945,100.0244,98.913
16,10337,36199,0.2539,0.0,2.9524,0.0,92.9899,28.5415,147.9837,184.139,2.417,0.0,8.9393,8.2201,17,1425,279,0.6745,0.1058,5.8825,1.5975,50.1874,100.008,97.729
17,10232,35591,0.2556,0.0,3.6389,0.9563,92.0301,50.8066,137.0476,83.1863,2.3438,0.0,8.3232,1.183,16,1347,291,0.6776,0.0755,5.8137,2.3484,49.3304,99.9876,97.7679
18,10205,35202,0.2446,0.0,3.1703,1.0884,72.1826,32.3961,107.6603,144.3349,1.3684,0.0,5.8264,1.5043,20,1066,210,0.677,0.0605,6.3551,1.193,48.6467,99.9646,95.6178
19,10210,36013,0.2414,0.0,2.1657,0.8957,96.89,36.7599,136.6885,203.5042,1.2323,0.0,3.9444,0.784,15,1328,153,0.6724,0.0213,6.0101,1.678,49.1692,100.03,96.6178
20,10152,35914,0.2836,0.0,2.7696,0.0101,83.3782,33.9819,124.8667,90.6883,2.0808,0.0,8.206,1.5281,19,1268,295,0.6761,0.0307,5.0302,1.2357,50.3022,99.9984,97.4542
21,10316,36331,0.2576,0.0,3.4465,0.8391,69.2701,14.8568,128.5126,75.1937,1.6561,0.0,7.9576,2.995,14,1322,296,0.6744,0.0426,5.9985,1.3559,51.3931,99.9756,97.0705
22,10101,34768,0.2203,0.0,2.4504,0.9932,71.3891,30.1585,110.9112,70.6632,1.0276,0.0,4.3232,0.6024,13,1084,150,0.6778,0.0849,5.9164,0.3516,47.0559,100.0258,94.5688
23,10304,35836,0.2636,0.0,3.2589,1.2655,55.528,17.8228,100.3613,53.595,1.5725,0.0,5.7842,0.0,19,965,186,0.6739,0.2025,5.394,0.6521,50.0363,100.0145,96.3161
24,10278,35929,0.2681,0.0,3.2483,0.5745,84.0197,40.2508,127.6936,88.6978,4.1562,0.0,14.0498,2.0105,16,1214,447,0.6734,0.0828,5.3892,0.39,50.0901,99.9794,97.6386
25,10313,35930,0.2451,0.0,2.7058,0.0402,67.9102,25.3209,122.2624,112.7616,1.5534,0.0,5.7411,4.7941,19,1202,212,0.6745,0.0478,6.4447,2.2319,50.0808,100.0165,96.4007
26,10474,36818,0.2883,0.0,2.7998,0.0,90.9125,26.5288,143.8484,97.8913,11.5197,0.0,21.8798,19.7054,21,1386,724,0.6735,0.0223,5.6924,2.188,52.6559,100.0182,99.8648
