"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
1,10139,35282,0.1344,0.0,2.1894,0.3122,1.2841,0.0,9.6044,9.8702,0.1655,0.0,1.3526,0.5714,15,102,62,0.6882,0.2031,6.0577,0.5937,36.6553,90.4525,78.1191
2,10236,35561,0.1322,0.0,1.8553,0.3212,1.233,0.0,7.9652,1.22,0.1975,0.0,2.1171,0.1067,12,86,90,0.6887,0.204,5.2619,0.6694,37.0723,90.3497,79.1786
3,10268,36151,0.1446,0.0,2.5232,0.2178,1.5839,0.0,7.5363,1.5403,0.189,0.0,1.7126,0.0541,15,78,85,0.6899,0.2068,5.7233,2.062,36.7939,92.9839,80.2944
4,10220,35623,0.1422,0.0,4.1642,1.2394,1.2868,0.0,6.5475,0.5337,0.1481,0.0,1.2923,0.0,16,79,53,0.6879,0.2029,5.9548,3.083,37.2145,90.9127,78.7166
5,10137,35568,0.1386,0.0,2.116,0.0,1.0431,0.0,5.1732,0.2782,0.1626,0.0,1.4564,0.1556,14,60,61,0.686,0.2075,6.1075,0.9703,37.011,90.2254,78.2347
6,10304,36101,0.1427,0.0,3.3973,0.0,1.2374,0.0,6.9634,0.0,0.2043,0.0,2.0027,0.2767,13,79,86,0.6836,0.2047,5.0977,0.9203,38.0188,89.7859,79.9954
7,10270,36019,0.1518,0.0,2.8095,0.0,1.3504,0.0,6.7831,0.4737,0.2126,0.0,3.5,0.0,18,78,138,0.6882,0.1644,5.2441,0.2477,37.2202,91.9398,80.0223
8,10346,35988,0.1468,0.0,2.1878,0.0,1.2716,0.0,7.1839,0.9103,0.1763,0.0,1.5251,0.3673,16,81,65,0.6884,0.2049,5.8638,1.2503,38.687,91.1898,79.6065
9,10311,35894,0.1446,0.0,2.475,0.6192,1.746,0.0,8.7885,2.4237,0.1791,0.0,2.1493,0.104,14,90,77,0.6898,0.1997,5.6656,0.5474,37.8797,91.7914,79.8637
10,10283,35887,0.1361,0.0,2.5309,0.0,1.8016,0.0,7.7625,7.5728,0.1593,0.0,1.2978,0.0313,12,98,55,0.6903,0.2044,5.9729,1.5009,36.5632,92.5455,79.6103
11,10374,36216,0.1407,0.0,2.3939,0.5423,1.6607,0.0,9.6108,8.5672,0.26,0.0,2.0412,0.1649,13,107,89,0.6862,0.1022,6.2384,1.1925,37.7862,91.8134,80.3852
12,10307,36299,0.1373,0.0,3.4777,0.0,1.343,0.0,6.7494,2.0185,0.1969,0.0,1.4062,0.0406,16,71,64,0.6863,0.2009,5.7848,0.2567,36.7806,91.9267,80.8816
13,10240,36247,0.1398,0.0,2.6388,0.0,1.8347,0.0,8.3547,1.329,0.2107,0.0,2.1053,0.5427,15,101,92,0.6868,0.2037,5.5205,1.5646,37.6403,91.6945,80.7322
14,10219,35780,0.1272,0.0,2.7563,0.3938,1.4923,0.0,9.0069,0.4037,0.1703,0.0,1.7226,0.3068,13,103,75,0.6884,0.2046,7.2764,0.9838,36.3253,92.1719,78.9293
15,10217,36282,0.137,0.0,2.4635,0.0,1.3913,0.0,6.9506,0.0,0.2053,0.0,1.8899,0.0574,17,84,75,0.6852,0.1729,6.1009,0.5828,37.4863,91.469,80.3656
16,10166,35584,0.1482,0.0,2.2295,0.0,1.5164,0.0,8.304,1.2417,0.2002,0.0,2.1404,0.0,13,91,86,0.6918,0.1499,6.0929,3.0216,37.6508,91.9732,79.0663
17,10227,35956,0.1411,0.0,2.487,0.7582,1.5285,0.0,7.9359,2.4778,0.1813,0.0,1.6297,0.0361,17,83,80,0.6931,0.202,5.846,0.4633,38.8173,92.0654,80.2157
18,10441,36870,0.1384,0.0,2.25,0.0,2.4012,0.0,9.4124,1.0561,0.1869,0.0,1.6626,0.5154,16,103,79,0.6898,0.0364,6.8864,0.7922,38.0173,94.8625,82.1105
19,10375,36336,0.1532,0.0,3.5128,0.5318,1.0003,0.0,5.5471,2.1415,0.2165,0.0,1.6042,0.5376,15,67,83,0.6847,0.0279,4.9221,1.5912,38.8683,89.7444,81.0899
20,10257,35716,0.139,0.0,2.1211,0.4664,1.503,0.0,7.9355,2.5953,0.1611,0.0,1.7032,0.13,14,97,60,0.691,0.066,5.8249,0.33,36.5917,92.3286,79.1875
21,10379,36056,0.1416,0.0,2.604,0.3066,0.9886,0.0,5.606,2.9399,0.1909,0.0,1.906,1.6098,13,64,78,0.6844,0.2046,6.664,1.4948,37.7481,89.9206,79.8633
22,10190,36058,0.1365,0.0,2.3453,0.0,1.4446,0.0,7.5454,6.3108,0.2256,0.0,2.2185,1.1384,14,93,95,0.6862,0.0779,6.0792,0.3274,38.2443,90.8199,80.2121
23,10125,35030,0.1296,0.0,2.1629,0.0,0.8918,0.0,6.2955,0.9415,0.1765,0.0,1.4738,0.0582,13,68,61,0.6833,0.2064,5.1753,0.3755,36.1374,87.2168,77.8001
24,10363,36162,0.1372,0.0,2.5074,0.0,1.9263,0.0,8.1581,2.8164,0.2213,0.0,2.3844,0.2085,13,91,117,0.6918,0.2048,5.5255,0.9938,36.9871,93.9276,80.9238
25,10270,35920,0.1345,0.0,2.2306,0.5464,2.0781,0.0,9.1644,3.7266,0.2013,0.0,2.0982,1.4544,14,98,77,0.6917,0.0326,6.1486,1.481,36.1952,94.2708,79.5808
26,10223,35872,0.1337,0.0,3.0658,0.8826,1.3746,0.0,7.8804,7.4756,0.1797,0.0,1.7223,0.0031,17,84,75,0.6879,0.1009,5.9331,1.5854,37.5488,90.888,79.8675
27,10244,35462,0.1511,0.0,2.6984,0.0,2.249,0.0,9.2988,1.1667,0.1815,0.0,1.8496,0.0,18,110,86,0.6922,0.2048,5.5495,0.8943,36.8092,92.2885,78.487
28,10175,35836,0.1266,0.0,2.1324,0.0,1.3619,0.0,6.7951,5.4131,0.1833,0.0,1.6711,0.0,13,81,58,0.6863,0.0732,6.4297,1.4089,37.0123,90.3928,79.6802
29,10224,35587,0.1334,0.0,2.6011,0.5224,1.2832,0.0,8.6973,1.9977,0.1673,0.0,1.2905,0.9314,13,100,62,0.6884,0.2041,6.5552,1.9788,37.1362,90.249,79.0807
30,10359,36001,0.1429,0.0,2.4358,0.3011,1.5682,0.0,6.8345,5.7541,0.2021,0.0,1.559,0.3212,13,80,76,0.6897,0.2035,5.8491,0.3742,37.5237,91.7683,80.3566
31,10220,35803,0.1405,0.0,2.5835,0.0,1.883,0.0,11.0241,2.4742,0.1689,0.0,1.3963,0.065,18,121,59,0.69,0.095,5.6435,1.1763,36.1443,92.8635,79.4798
32,10430,36429,0.147,0.0,3.6846,0.0,1.1753,0.0,6.1346,3.0262,0.194,0.0,1.7571,1.4664,17,70,87,0.6877,0.2052,5.9776,0.2899,38.9177,91.9281,80.4294
33,10289,36021,0.1359,0.0,2.2974,0.6367,1.3146,0.0,7.6671,2.3028,0.1768,0.0,1.6267,0.0,17,82,64,0.686,0.2024,5.3892,0.8933,37.0888,91.3492,79.4331
34,10270,35767,0.1354,0.0,3.0447,0.8715,2.0229,0.0,8.3847,10.7365,0.1659,0.0,1.5541,0.0,13,94,66,0.6889,0.2038,5.7087,1.0569,37.4543,91.8216,78.7324
35,10085,35203,0.1288,0.0,2.024,0.0,0.8138,0.0,4.4835,1.0785,0.1689,0.0,1.6194,0.2972,15,56,69,0.6842,0.2023,6.3328,1.2782,35.7677,88.5008,77.8754
36,10434,36767,0.1661,0.0,2.7954,0.0,2.8951,0.0,11.0885,3.8905,0.2148,0.0,2.2278,0.0,17,122,91,0.6942,0.2024,6.0269,1.4117,40.7696,94.1627,81.4751
37,10254,35989,0.157,0.0,2.711,0.4038,1.8635,0.0,9.673,3.9181,0.1883,0.0,1.792,0.0,17,109,75,0.6922,0.073,5.9325,0.2381,38.6667,92.9389,80.1183
38,10279,36180,0.1457,0.0,2.5778,0.0,1.5921,0.0,9.9557,6.6567,0.1799,0.0,1.3881,0.1772,20,100,65,0.6893,0.1916,5.3977,1.9401,37.6588,92.0314,80.8506
39,10191,35822,0.137,0.0,2.9327,0.3806,1.3734,0.0,7.5166,0.0,0.1923,0.0,1.83,0.0,13,92,82,0.6884,0.2028,6.0296,1.0743,37.2873,91.4441,79.1749
40,10073,35448,0.144,0.0,2.5351,0.0,1.0636,0.0,7.1699,1.3723,0.1807,0.0,1.4765,0.0,15,66,68,0.69,0.2069,7.3755,2.0972,36.9789,90.7344,79.3794
41,10098,34746,0.1267,0.0,2.1691,0.2229,0.8858,0.0,6.2061,0.0,0.155,0.0,1.347,0.1026,13,71,59,0.6879,0.2049,5.2317,0.7671,35.9504,88.2058,77.1492
42,10237,35778,0.1309,0.0,2.3196,0.0,1.0672,0.0,5.2289,1.3112,0.1783,0.0,1.401,0.2293,18,67,60,0.6883,0.2029,7.6296,0.3554,37.2417,90.7494,79.5095
43,10212,35629,0.1319,0.0,2.3908,0.0,2.0275,0.0,9.0422,2.3477,0.1768,0.0,2.3036,0.0102,12,108,102,0.6922,0.2032,8.8975,0.2987,36.8843,93.0977,78.5167
44,10138,35496,0.1364,0.0,2.7774,0.2992,1.4988,0.0,8.0608,0.2884,0.1739,0.0,1.4633,1.3686,11,91,61,0.6905,0.2029,7.1001,0.6018,37.3822,91.1006,79.2381
45,10194,35462,0.1325,0.0,2.0275,0.1031,1.3397,0.0,7.5721,0.0,0.1939,0.0,1.9882,0.0462,11,87,88,0.6899,0.1467,6.3256,0.516,36.989,90.7386,78.73
46,10352,36384,0.1376,0.0,2.7031,0.0,1.5901,0.0,8.6849,0.6707,0.2139,0.0,1.7347,0.8592,15,128,79,0.6851,0.1284,5.3473,1.1253,37.5479,91.7283,80.201
